run,try,result,time
kimi-en-1,1,"13,154",2026-09-24 15:43:46
kimi-en-1,2,"13,154",2026-09-24 15:44:01
qwen-en-1,1,"13,154",2026-09-24 15:44:15
qwen-en-1,2,"13,154",2026-09-24 15:44:29
flash-en-1,1,"13,154",2026-09-24 15:44:43
flash-en-1,2,"13,154",2026-09-24 15:44:56
kimi-en-2,1,"13,154",2026-09-24 15:45:11
kimi-en-2,2,"13,154",2026-09-24 15:45:25
qwen-en-2,1,"13,154",2026-09-24 15:45:38
qwen-en-2,2,"13,154",2026-09-24 15:45:52
flash-en-2,1,"13,154",2026-09-24 15:46:05
flash-en-2,2,"13,154",2026-09-24 15:46:18
kimi-en-3,1,"13,154",2026-09-24 15:46:33
kimi-en-3,2,"13,154",2026-09-24 15:46:47
qwen-en-3,1,"13,154",2026-09-24 15:47:01
qwen-en-3,2,"13,154",2026-09-24 15:47:14
flash-en-3,1,"13,154",2026-09-24 15:47:29
flash-en-3,2,"13,154",2026-09-24 15:47:42
rescore,commit c53937d,"13,154",2026-09-24 15:48:06
rescore,commit c53937d try2,"13,154",2026-09-24 15:48:21
flash-en-1r,1,"13,154",2026-09-24 17:05:11
flash-en-1r,2,"13,154",2026-09-24 17:05:22
