run,try,result,time
opus-en-1,1,"13,154",2026-09-24 18:14:57
opus-en-1,2,"13,154",2026-09-24 18:15:07
sol-en-1,1,"13,154",2026-09-24 18:15:17
sol-en-1,2,"13,154",2026-09-24 18:15:28
opus-en-2,1,"13,154",2026-09-24 18:15:39
opus-en-2,2,"13,154",2026-09-24 18:15:50
sol-en-2,1,"13,154",2026-09-24 18:16:00
sol-en-2,2,"13,154",2026-09-24 18:16:10
opus-en-3,1,"13,154",2026-09-24 18:16:21
opus-en-3,2,"13,154",2026-09-24 18:16:31
sol-en-3,1,"13,154",2026-09-24 18:16:41
sol-en-3,2,"13,154",2026-09-24 18:16:52
